No.,相対PASS,発行年,巻数,号数,開始ページ,終了ページ,論文タイトル,著者,file_name,HPリンク先,PDFリンク先,file_path,num_pages,llm_keywords,primary_keywords,secondary_keywords,featured_keywords,対象物_all,対象物_top3,対象物_根拠,研究タイプ_all,研究タイプ_top3,研究タイプ_根拠
11,日本醸造協会誌/83巻/1号/83_42.pdf,1988,83,1,42,42,酸化還元電位と私,石崎 文彬,83_42.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_42/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_42/_pdf/-char/ja,,,酸化還元電位; グルタミン酸発酵; アセトンブタノール発酵; 石崎文彬; 本江元吉先生; 発酵学; 培養系; アミノ酸発酵; 技術; 研究,酸化還元電位; 電位; Nyi; 好気培養; 酸発酵; 培養系; グルタミン; 膜電極; nan; 酸化還元色素; 転換率; 溶存酸素濃度; テーマ; 私達; 今日; 私石崎文彬九州大学農学部今; 培養液酸化還元電位; アセトンブタノー; ソルベントリッチ; 溶存酸素測定用,クアランブール; 丁度消化不良; ne-eri; 大学時代答; oengi; 阻害的効果; 今年発明; 振蕩培養; 結届答; 創刊問; 俊秀; 恩師本江元吉先生; 国際発酵会議; ecl; 学窓; 殺菌可能; レベノ; 巣立; 研究; 発酵学教室,,アミノ酸・タンパク質,アミノ酸・タンパク質,アミノ酸・タンパク質=>酵素活性,醸造工程・製造技術; 統計解析・モデル化; 成分分析・物性評価,醸造工程・製造技術; 統計解析・モデル化; 成分分析・物性評価,醸造工程・製造技術=>発酵; 統計解析・モデル化=>最適化; 成分分析・物性評価=>測定
12,日本醸造協会誌/83巻/1号/83_47.pdf,1988,83,1,47,51,乾燥麹の貯蔵中の品質変化について 乾燥麹の貯蔵に関する研究 (第1報),尾関 健二; 山本 忠行; 浜地 正昭; 本馬 健光,83_47.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_47/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_47/_pdf/-char/ja,,,麹; 乾燥; 貯蔵; 清酒醸造; 保存性; 酵素活性; 水分含量; 温度; 包装; 品質変化,水分含量; 乾燥麹; 区分; 米袋区分; 冬眠米袋区分; 貯蔵中; 貯蔵; 冬眠米袋; ガス; 置換; 乾燥度; 品質変化; 乾燥; 貯蔵条件; 図貯蔵中; 貯蔵温度; 米袋; dried; 酵素抽出; 本馬,AAase; 乾燥前; 酵素活性; Koji; 浜地; ACPase; 尾関; 紙袋区分; 失活度; 室温; 生菌; 褐変; APase; 酒造用麹; GAase; 生酸菌; rice; 材質; 色度; 酸度,,アミノ酸・タンパク質; アルコール飲料; 清酒,アミノ酸・タンパク質; アルコール飲料; 清酒,"アミノ酸・タンパク質=>酵素活性, アミラーゼ, enzyme; アルコール飲料=>アルコール; 清酒=>酒造",保存・安定性; 成分分析・物性評価; 歴史・文化・経済; 品質評価・官能評価; 環境・サステナビリティ; 健康機能・栄養効果,保存・安定性; 成分分析・物性評価; 歴史・文化・経済,"保存・安定性=>貯蔵, 保存性, 劣化; 成分分析・物性評価=>色度, 酸度, 吸光度; 歴史・文化・経済=>流通, 市場"
13,日本醸造協会誌/83巻/1号/83_52.pdf,1988,83,1,52,56,甲州種ブドウの果梗より溶出するフェノール化合物について,柴崎 茂郎; 清水 理通; 大塚 謙一,83_52.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_52/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_52/_pdf/-char/ja,,,ワイン; 苦味成分; フェノール化合物; 甲州種; ブドウ; 白ワイン; 渋味; 果梗; 溶出; HPLC,果梗; 甲州種; フェノール; 化合物; ワイン; ブドウ; Koshu; 溶出; 苦味; Vific; aci; echi; caf; 塩酸; easca; Fet; and; SINGLETON; 種子; メタノール,Tabl; 化合物量; stem; 柴崎; 渋味; Enol; ari; TLC; 抽出; 果皮; 搾汁; Feteasca; procyani; 果皮量; LEA; 風乾; pH2; phenolic; ARNOLD; 種子量,,農産物・果実; ワイン; ビール; アルコール飲料,農産物・果実; ワイン; ビール,"農産物・果実=>果梗, 種子, 果皮; ワイン=>ワイン, ブドウ, 果汁; ビール=>苦味",品質評価・官能評価; 成分分析・物性評価; 醸造工程・製造技術; 環境・サステナビリティ,品質評価・官能評価; 成分分析・物性評価; 醸造工程・製造技術,"品質評価・官能評価=>苦味, 味覚; 成分分析・物性評価=>HPLC, 分析, 測定; 醸造工程・製造技術=>醸造, 発酵"
14,日本醸造協会誌/83巻/1号/83_57.pdf,1988,83,1,57,63,尿素あるいはその関連物質を含むモデル酒中にわけるカルバミン酸エチルの生成,原 昌道; 吉沢 淑; 中村 欽一,83_57.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_57/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_57/_pdf/-char/ja,,,カルバミン酸エチル; 尿素; モデル酒; エタノール; 生成; 温度; pH; 濃度; 貯蔵; 抑制,CAE; urea; 尿素; alcoholic; 生成; model; ppm; ppb; カルバミル; 燐酸; 酒中; 関連物質; 尿素濃度; the; シアン; カルバミン; beverages; 尿素関連物質; モデル; buffer,ethyl; formed; cal; beverage; DEPC; acetate; pH4; カリ; Concentration; solution; were; Model; allowed; 中村; containing; formation; mol; カルバミルアスパラギン; エチルウレア; エチル,,アルコール飲料; ワイン; ビール; 酵母・微生物,アルコール飲料; ワイン; ビール,"アルコール飲料=>アルコール, エタノール; ワイン=>ワイン, 果汁; ビール=>ビール",成分分析・物性評価,成分分析・物性評価,"成分分析・物性評価=>定量, クロマトグラフィー, 測定"
15,日本醸造協会誌/83巻/1号/83_64.pdf,1988,83,1,64,68,酒中のカルバミン酸エチルの定量法,原 昌道; 高橋 康次郎; 吉沢 淑,83_64.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_64/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_64/_pdf/-char/ja,,,カルバミン酸エチル; 定量法; 清酒; 抽出; pH; 回収率; カラムクロマトグラフィー; 溶出; 濃縮; GC,CAE; CHCl; 定量法; GLC; カルバミン; 回収率; マススペクトル; 溶媒; 濃縮; NBS; 受器; 溶出; ピーク; フロリジルカラムクロマトグラフィー; CHC13; 受器中; temp; 水層; フロリジルカラム; chromatogram,エチル; sample; 流出液; 濃縮装置; 213; her; GC-; 下図; sake; hanol; 溶出量; Phenylmethylsilicone; イオンフラグメソト; Kudema-; Ough2; pH43; 漂準; ガスクロマトグラム; 抽出液; Florisil,,アルコール飲料; 清酒,アルコール飲料; 清酒,アルコール飲料=>エタノール; 清酒=>清酒,成分分析・物性評価,成分分析・物性評価,"成分分析・物性評価=>分析, 定量, 測定"
16,日本醸造協会誌/83巻/1号/83_69.pdf,1988,83,1,69,73,酒中のカルバミン酸エチルの生成に及ぼす温度と酒質の影響,吉沢 淑; 高橋 康次郎,83_69.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_69/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_69/_pdf/-char/ja,,,カルバミン酸エチル; 生成防止; 清酒製造; 火入れ; 貯蔵温度; 尿素; 冷却; 経時変化; 予測式; 活性化エネルギー,CAE; 尿素濃度; 尿素; 火入; ppb; 生成; カルバミン; 生成量; production; sake; ppm; 速度定数; 古沢; 温度; 影響清酒; sakeUrea; cooling; Tabl; concn; エチル,水冷; 酒中; mol; temperatureson; 放置冷却; urea; constant; 高橋; Effects; 酒質; kcal; 日数; 清酒; 貯蔵温度; 各温度; PPm; 貯蔵; 影響; temperature; Relations,,アルコール飲料; 清酒,アルコール飲料; 清酒,アルコール飲料=>エタノール; 清酒=>清酒,保存・安定性; 成分分析・物性評価,保存・安定性; 成分分析・物性評価,"保存・安定性=>貯蔵; 成分分析・物性評価=>測定, 分析"
17,日本醸造協会誌/83巻/1号/83_74.pdf,1988,83,1,74,75,多収穫米 “しなのさきがけ” のパフ化による酒造適性の向上,高橋 康次郎; 曽我 浩; 吉沢 淑,83_74.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_74/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_74/_pdf/-char/ja,,,パフ白米; 消化性; 酒造適性; しなのさきがけ; パフ処理; 直糖; 溶解; アミノ酸度; 精米歩合; 官能検査,パフ; 多収穫米; 未処理米; 消化性; Shinano-sakigake; 精白米; 伊藤輝雄; 白米; 酸度; 福沢幹雄; 榛葉芳夫; nan; 飯田俊彦; 処理; 減少及; アミノ; 馬場茂; 吉沢淑; 酒化率; 向上,官能検査結果; grain; 酒造米; sec; polished; 1985; 酒造適性; cm2; 対照; TreatmentKojiro; bysaccharifying; originalextract; 長野県食品工業試験場飯田俊彦氏; 処理気流式瞬間連続膨化装置; 鋤気流式瞬間連続膨化装置; 長野県食品工試研究報告; puffedrice; 小仕込試験結果製成酒; 長野県食工試研究報告; Makingby,,アミノ酸・タンパク質; 酵母・微生物; 清酒,アミノ酸・タンパク質; 酵母・微生物; 清酒,アミノ酸・タンパク質=>protein; 酵母・微生物=>酵母; 清酒=>清酒,成分分析・物性評価; 品質評価・官能評価; 応用利用・食品開発,成分分析・物性評価; 品質評価・官能評価; 応用利用・食品開発,"成分分析・物性評価=>酸度; 品質評価・官能評価=>官能検査, 評価; 応用利用・食品開発=>開発"
18,日本醸造協会誌/83巻/2号/83_81.pdf,1988,83,2,81,81,酒の多様化と表現,吉沢 淑,83_81.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/2/83_2_81/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/2/83_2_81/_pdf/-char/ja,,,吟醸酒; 酒質; 官能評価; バイオテクノロジー; 微生物育種; 香気エステル; 遺伝子; 麹菌; 料理適合性; 評価方式,料理; 評価方式; 酒質; nan; 表現; 多様化; 世界各地; 清酒; 表現国税庁醸造試験所長吉沢淑最近; ライスカレー; 国際化多様化; ワィンリスト; 蛋白分泌機能; プロファィル; 巻頭随想酒; 風懐石料理; 料理内容; 料理同士; 続々開発; パダン,モルッ; 珍酒; 濃潤; 酒造場; レストラン; クスクス; 消費者間; 激辛; 洋酒鑑評会; 悲観論; ブーム; スーパードライ; バイオテクノ; 昨年来; ビール; 沈静化; 未開拓; 率先; 本国; ワイン,,アルコール飲料; ビール; ワイン; 清酒; 酵母・微生物,アルコール飲料; ビール; ワイン,アルコール飲料=>ブランデー; ビール=>ビール; ワイン=>ワイン,歴史・文化・経済; 応用利用・食品開発; 微生物・遺伝子関連; 品質評価・官能評価,歴史・文化・経済; 応用利用・食品開発; 微生物・遺伝子関連,"歴史・文化・経済=>消費, マーケティング; 応用利用・食品開発=>応用, 開発; 微生物・遺伝子関連=>発現, 遺伝子, 微生物"
19,日本醸造協会誌/83巻/2号/83_82.pdf,1988,83,2,82,86,進歩した精米機,永谷 正治,83_82.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/2/83_2_82/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/2/83_2_82/_pdf/-char/ja,,,精米機; 高精白; 吟醸精米; 精米能力; 労務の軽減; 改良; 更新; 竪型精米機; 精米原理; 周辺機能,中心重; 推定千粒重; 精米成績; 砕米数; DB25-; ヒダホマレ; サンプル; サタケ; 在来機; 成績; 中野富士号; 山田錦産地; 新鋭機; 無効精米歩合; サンフル; 玄米; 240; 精白; 精米; 兵庫精米歩合,新鋭精米機; 白米; コンピューター; 300; 機械; 砕米; インバーター; 品種; 図在来機; 図新型機; 精米士; 精米機; プログラム; 周辺機器; タンク; 山田錦; 図面; 部品; 高度精白; 図新式精米機,,清酒,清酒,"清酒=>山田錦, 五百万石",応用利用・食品開発; 歴史・文化・経済; 品質評価・官能評価; 成分分析・物性評価,応用利用・食品開発; 歴史・文化・経済; 品質評価・官能評価,応用利用・食品開発=>開発; 歴史・文化・経済=>市場; 品質評価・官能評価=>評価
20,日本醸造協会誌/83巻/2号/83_87.pdf,1988,83,2,87,92,吟醸酒の調査結果について,国税庁間税部鑑定企画官室; 各国税局間税部鑑定官室,83_87.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/2/83_2_87/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/2/83_2_87/_pdf/-char/ja,,,吟醸酒; 市販; 貯蔵管理; 出荷管理; 火入れ温度; 活性炭素; 品質設計; 鑑評会; 商品化技術; 消費者PR,製品; 課税移出数量; 純米醸造酒; 吟醸酒; 全体; 火入; 平均精米歩合; アルコール; 度数分布; 貯蔵; 詰製品; 昭和; 酒全体; 貯蔵容器; 収得量; 古酒; 自然放冷; 好適米; 割強; 調査対象製品,製品点数; 表製品; 活性炭素使用量; 以下; 平均値; 調査結果; 日生; 略歴; 趣味; 火入温度; 所在地; 出荷; 勤務先; メーカー; 出荷時; 精米方法; 比較的多; 級酒平均値; 小売価格第; 使用製品,,アルコール飲料; 清酒; 発酵食品,アルコール飲料; 清酒; 発酵食品,"アルコール飲料=>アルコール, ウイスキー; 清酒=>山田錦, 五百万石, 清酒; 発酵食品=>発酵食品",保存・安定性; 歴史・文化・経済; 品質評価・官能評価; 微生物・遺伝子関連; 応用利用・食品開発; 醸造工程・製造技術,保存・安定性; 歴史・文化・経済; 品質評価・官能評価,"保存・安定性=>貯蔵; 歴史・文化・経済=>数量, 需要, 市場; 品質評価・官能評価=>品質"
